Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Australia",2020,Total,25466459,12655116,12811343,100.0,100.0,100.0,98.8
"Custom Region","Australia",2020,0-4,1573566,810248,763318,6.2,6.4,6.0,106.1
"Custom Region","Australia",2020,5-9,1613045,831832,781213,6.3,6.6,6.1,106.5
"Custom Region","Australia",2020,10-14,1580513,815338,765175,6.2,6.4,6.0,106.6
"Custom Region","Australia",2020,15-19,1532917,797578,735339,6.0,6.3,5.7,108.5
"Custom Region","Australia",2020,20-24,1750130,912675,837455,6.9,7.2,6.5,109.0
"Custom Region","Australia",2020,25-29,1909110,972767,936343,7.5,7.7,7.3,103.9
"Custom Region","Australia",2020,30-34,1852540,913832,938708,7.3,7.2,7.3,97.3
"Custom Region","Australia",2020,35-39,1788398,882774,905624,7.0,7.0,7.1,97.5
"Custom Region","Australia",2020,40-44,1670366,835292,835074,6.6,6.6,6.5,100.0
"Custom Region","Australia",2020,45-49,1708282,856873,851409,6.7,6.8,6.6,100.6
"Custom Region","Australia",2020,50-54,1551185,763302,787883,6.1,6.0,6.1,96.9
"Custom Region","Australia",2020,55-59,1499262,725553,773709,5.9,5.7,6.0,93.8
"Custom Region","Australia",2020,60-64,1392388,670291,722097,5.5,5.3,5.6,92.8
"Custom Region","Australia",2020,65-69,1231459,590459,641000,4.8,4.7,5.0,92.1
"Custom Region","Australia",2020,70-74,1080789,523150,557639,4.2,4.1,4.4,93.8
"Custom Region","Australia",2020,75-79,734347,346140,388207,2.9,2.7,3.0,89.2
"Custom Region","Australia",2020,80-84,493015,219274,273741,1.9,1.7,2.1,80.1
"Custom Region","Australia",2020,85-89,293653,118341,175312,1.2,0.9,1.4,67.5
"Custom Region","Australia",2020,90-94,154288,53806,100482,0.6,0.4,0.8,53.5
"Custom Region","Australia",2020,95-99,48951,13768,35183,0.2,0.1,0.3,39.1
"Custom Region","Australia",2020,100+,8255,1823,6432,0.0,0.0,0.1,28.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,25466459,12655116,12811343,100.0,100.0,100.0,98.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,1573566,810248,763318,6.2,6.4,6.0,106.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,1613045,831832,781213,6.3,6.6,6.1,106.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,1580513,815338,765175,6.2,6.4,6.0,106.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,1532917,797578,735339,6.0,6.3,5.7,108.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,1750130,912675,837455,6.9,7.2,6.5,109.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,1909110,972767,936343,7.5,7.7,7.3,103.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,1852540,913832,938708,7.3,7.2,7.3,97.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,1788398,882774,905624,7.0,7.0,7.1,97.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,1670366,835292,835074,6.6,6.6,6.5,100.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,1708282,856873,851409,6.7,6.8,6.6,100.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,1551185,763302,787883,6.1,6.0,6.1,96.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,1499262,725553,773709,5.9,5.7,6.0,93.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,1392388,670291,722097,5.5,5.3,5.6,92.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,1231459,590459,641000,4.8,4.7,5.0,92.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,1080789,523150,557639,4.2,4.1,4.4,93.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,734347,346140,388207,2.9,2.7,3.0,89.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,493015,219274,273741,1.9,1.7,2.1,80.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,293653,118341,175312,1.2,0.9,1.4,67.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,154288,53806,100482,0.6,0.4,0.8,53.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,48951,13768,35183,0.2,0.1,0.3,39.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,8255,1823,6432,0.0,0.0,0.1,28.3
