Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Brazil",2020,Total,211715973,104241576,107474397,100.0,100.0,100.0,97.0
"Custom Region","Brazil",2020,0-4,14309862,7304748,7005114,6.8,7.0,6.5,104.3
"Custom Region","Brazil",2020,5-9,14719634,7505024,7214610,7.0,7.2,6.7,104.0
"Custom Region","Brazil",2020,10-14,15668156,7980862,7687294,7.4,7.7,7.2,103.8
"Custom Region","Brazil",2020,15-19,17007367,8646753,8360614,8.0,8.3,7.8,103.4
"Custom Region","Brazil",2020,20-24,16997577,8607610,8389967,8.0,8.3,7.8,102.6
"Custom Region","Brazil",2020,25-29,16401130,8263503,8137627,7.7,7.9,7.6,101.5
"Custom Region","Brazil",2020,30-34,16852209,8449072,8403137,8.0,8.1,7.8,100.5
"Custom Region","Brazil",2020,35-39,17196235,8579272,8616963,8.1,8.2,8.0,99.6
"Custom Region","Brazil",2020,40-44,15700884,7775813,7925071,7.4,7.5,7.4,98.1
"Custom Region","Brazil",2020,45-49,13911821,6818183,7093638,6.6,6.5,6.6,96.1
"Custom Region","Brazil",2020,50-54,12737601,6184397,6553204,6.0,5.9,6.1,94.4
"Custom Region","Brazil",2020,55-59,11427309,5457197,5970112,5.4,5.2,5.6,91.4
"Custom Region","Brazil",2020,60-64,9286826,4345798,4941028,4.4,4.2,4.6,88.0
"Custom Region","Brazil",2020,65-69,7231416,3296545,3934871,3.4,3.2,3.7,83.8
"Custom Region","Brazil",2020,70-74,5250879,2308797,2942082,2.5,2.2,2.7,78.5
"Custom Region","Brazil",2020,75-79,3485210,1454076,2031134,1.6,1.4,1.9,71.6
"Custom Region","Brazil",2020,80-84,2117806,813661,1304145,1.0,0.8,1.2,62.4
"Custom Region","Brazil",2020,85-89,1005644,340649,664995,0.5,0.3,0.6,51.2
"Custom Region","Brazil",2020,90-94,336958,94113,242845,0.2,0.1,0.2,38.8
"Custom Region","Brazil",2020,95-99,65250,14447,50803,0.0,0.0,0.0,28.4
"Custom Region","Brazil",2020,100+,6199,1056,5143,0.0,0.0,0.0,20.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,211715973,104241576,107474397,100.0,100.0,100.0,97.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,14309862,7304748,7005114,6.8,7.0,6.5,104.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,14719634,7505024,7214610,7.0,7.2,6.7,104.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,15668156,7980862,7687294,7.4,7.7,7.2,103.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,17007367,8646753,8360614,8.0,8.3,7.8,103.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,16997577,8607610,8389967,8.0,8.3,7.8,102.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,16401130,8263503,8137627,7.7,7.9,7.6,101.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,16852209,8449072,8403137,8.0,8.1,7.8,100.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,17196235,8579272,8616963,8.1,8.2,8.0,99.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,15700884,7775813,7925071,7.4,7.5,7.4,98.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,13911821,6818183,7093638,6.6,6.5,6.6,96.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,12737601,6184397,6553204,6.0,5.9,6.1,94.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,11427309,5457197,5970112,5.4,5.2,5.6,91.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,9286826,4345798,4941028,4.4,4.2,4.6,88.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,7231416,3296545,3934871,3.4,3.2,3.7,83.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,5250879,2308797,2942082,2.5,2.2,2.7,78.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,3485210,1454076,2031134,1.6,1.4,1.9,71.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,2117806,813661,1304145,1.0,0.8,1.2,62.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1005644,340649,664995,0.5,0.3,0.6,51.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,336958,94113,242845,0.2,0.1,0.2,38.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,65250,14447,50803,0.0,0.0,0.0,28.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,6199,1056,5143,0.0,0.0,0.0,20.5
