Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Canada",2020,Total,37694085,18687347,19006738,100.0,100.0,100.0,98.3
"Custom Region","Canada",2020,0-4,1932416,991874,940542,5.1,5.3,4.9,105.5
"Custom Region","Canada",2020,5-9,2024762,1039892,984870,5.4,5.6,5.2,105.6
"Custom Region","Canada",2020,10-14,2068783,1062242,1006541,5.5,5.7,5.3,105.5
"Custom Region","Canada",2020,15-19,1999964,1026776,973188,5.3,5.5,5.1,105.5
"Custom Region","Canada",2020,20-24,2199113,1140237,1058876,5.8,6.1,5.6,107.7
"Custom Region","Canada",2020,25-29,2528120,1306377,1221743,6.7,7.0,6.4,106.9
"Custom Region","Canada",2020,30-34,2612321,1322955,1289366,6.9,7.1,6.8,102.6
"Custom Region","Canada",2020,35-39,2586870,1291288,1295582,6.9,6.9,6.8,99.7
"Custom Region","Canada",2020,40-44,2459936,1214996,1244940,6.5,6.5,6.5,97.6
"Custom Region","Canada",2020,45-49,2362461,1170344,1192117,6.3,6.3,6.3,98.2
"Custom Region","Canada",2020,50-54,2456583,1221594,1234989,6.5,6.5,6.5,98.9
"Custom Region","Canada",2020,55-59,2740883,1362020,1378863,7.3,7.3,7.3,98.8
"Custom Region","Canada",2020,60-64,2566449,1262454,1303995,6.8,6.8,6.9,96.8
"Custom Region","Canada",2020,65-69,2161388,1047694,1113694,5.7,5.6,5.9,94.1
"Custom Region","Canada",2020,70-74,1786512,858156,928356,4.7,4.6,4.9,92.4
"Custom Region","Canada",2020,75-79,1215414,567289,648125,3.2,3.0,3.4,87.5
"Custom Region","Canada",2020,80-84,836003,372297,463706,2.2,2.0,2.4,80.3
"Custom Region","Canada",2020,85-89,597474,249843,347631,1.6,1.3,1.8,71.9
"Custom Region","Canada",2020,90-94,346223,126307,219916,0.9,0.7,1.2,57.4
"Custom Region","Canada",2020,95-99,138081,39874,98207,0.4,0.2,0.5,40.6
"Custom Region","Canada",2020,100+,74329,12838,61491,0.2,0.1,0.3,20.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,37694085,18687347,19006738,100.0,100.0,100.0,98.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,1932416,991874,940542,5.1,5.3,4.9,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,2024762,1039892,984870,5.4,5.6,5.2,105.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,2068783,1062242,1006541,5.5,5.7,5.3,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,1999964,1026776,973188,5.3,5.5,5.1,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,2199113,1140237,1058876,5.8,6.1,5.6,107.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,2528120,1306377,1221743,6.7,7.0,6.4,106.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,2612321,1322955,1289366,6.9,7.1,6.8,102.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,2586870,1291288,1295582,6.9,6.9,6.8,99.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,2459936,1214996,1244940,6.5,6.5,6.5,97.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,2362461,1170344,1192117,6.3,6.3,6.3,98.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,2456583,1221594,1234989,6.5,6.5,6.5,98.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,2740883,1362020,1378863,7.3,7.3,7.3,98.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,2566449,1262454,1303995,6.8,6.8,6.9,96.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,2161388,1047694,1113694,5.7,5.6,5.9,94.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,1786512,858156,928356,4.7,4.6,4.9,92.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,1215414,567289,648125,3.2,3.0,3.4,87.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,836003,372297,463706,2.2,2.0,2.4,80.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,597474,249843,347631,1.6,1.3,1.8,71.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,346223,126307,219916,0.9,0.7,1.2,57.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,138081,39874,98207,0.4,0.2,0.5,40.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,74329,12838,61491,0.2,0.1,0.3,20.9
