Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","China",2020,Total,1394015977,715630046,678385931,100.0,100.0,100.0,105.5
"Custom Region","China",2020,0-4,82832536,43933770,38898766,5.9,6.1,5.7,112.9
"Custom Region","China",2020,5-9,80530944,43303522,37227422,5.8,6.1,5.5,116.3
"Custom Region","China",2020,10-14,77715286,42059047,35656239,5.6,5.9,5.3,118.0
"Custom Region","China",2020,15-19,74503800,40312118,34191682,5.3,5.6,5.0,117.9
"Custom Region","China",2020,20-24,85502189,45817723,39684466,6.1,6.4,5.8,115.5
"Custom Region","China",2020,25-29,101347754,53218977,48128777,7.3,7.4,7.1,110.6
"Custom Region","China",2020,30-34,126191430,64173087,62018343,9.1,9.0,9.1,103.5
"Custom Region","China",2020,35-39,99479184,50883009,48596175,7.1,7.1,7.2,104.7
"Custom Region","China",2020,40-44,92484264,47096321,45387943,6.6,6.6,6.7,103.8
"Custom Region","China",2020,45-49,114227816,58099063,56128753,8.2,8.1,8.3,103.5
"Custom Region","China",2020,50-54,118770840,60319274,58451566,8.5,8.4,8.6,103.2
"Custom Region","China",2020,55-59,95420349,48010856,47409493,6.8,6.7,7.0,101.3
"Custom Region","China",2020,60-64,72964803,36816789,36148014,5.2,5.1,5.3,101.9
"Custom Region","China",2020,65-69,69956093,34411322,35544771,5.0,4.8,5.2,96.8
"Custom Region","China",2020,70-74,45440868,22080119,23360749,3.3,3.1,3.4,94.5
"Custom Region","China",2020,75-79,27920363,13084854,14835509,2.0,1.8,2.2,88.2
"Custom Region","China",2020,80-84,17538651,7738618,9800033,1.3,1.1,1.4,79.0
"Custom Region","China",2020,85-89,8401852,3335783,5066069,0.6,0.5,0.7,65.8
"Custom Region","China",2020,90-94,2391229,825071,1566158,0.2,0.1,0.2,52.7
"Custom Region","China",2020,95-99,370526,104871,265655,0.0,0.0,0.0,39.5
"Custom Region","China",2020,100+,25200,5852,19348,0.0,0.0,0.0,30.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,1394015977,715630046,678385931,100.0,100.0,100.0,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,82832536,43933770,38898766,5.9,6.1,5.7,112.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,80530944,43303522,37227422,5.8,6.1,5.5,116.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,77715286,42059047,35656239,5.6,5.9,5.3,118.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,74503800,40312118,34191682,5.3,5.6,5.0,117.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,85502189,45817723,39684466,6.1,6.4,5.8,115.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,101347754,53218977,48128777,7.3,7.4,7.1,110.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,126191430,64173087,62018343,9.1,9.0,9.1,103.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,99479184,50883009,48596175,7.1,7.1,7.2,104.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,92484264,47096321,45387943,6.6,6.6,6.7,103.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,114227816,58099063,56128753,8.2,8.1,8.3,103.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,118770840,60319274,58451566,8.5,8.4,8.6,103.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,95420349,48010856,47409493,6.8,6.7,7.0,101.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,72964803,36816789,36148014,5.2,5.1,5.3,101.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,69956093,34411322,35544771,5.0,4.8,5.2,96.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,45440868,22080119,23360749,3.3,3.1,3.4,94.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,27920363,13084854,14835509,2.0,1.8,2.2,88.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,17538651,7738618,9800033,1.3,1.1,1.4,79.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,8401852,3335783,5066069,0.6,0.5,0.7,65.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,2391229,825071,1566158,0.2,0.1,0.2,52.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,370526,104871,265655,0.0,0.0,0.0,39.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,25200,5852,19348,0.0,0.0,0.0,30.2
