Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","France",2020,Total,67848156,33226264,34621892,100.0,100.0,100.0,96.0
"Custom Region","France",2020,0-4,4072165,2082918,1989247,6.0,6.3,5.7,104.7
"Custom Region","France",2020,5-9,4180021,2137749,2042272,6.2,6.4,5.9,104.7
"Custom Region","France",2020,10-14,4201899,2148100,2053799,6.2,6.5,5.9,104.6
"Custom Region","France",2020,15-19,4101665,2097232,2004433,6.0,6.3,5.8,104.6
"Custom Region","France",2020,20-24,3960254,2025749,1934505,5.8,6.1,5.6,104.7
"Custom Region","France",2020,25-29,3920974,1998999,1921975,5.8,6.0,5.6,104.0
"Custom Region","France",2020,30-34,4037397,2051832,1985565,6.0,6.2,5.7,103.3
"Custom Region","France",2020,35-39,4098391,2079780,2018611,6.0,6.3,5.8,103.0
"Custom Region","France",2020,40-44,3992369,2021535,1970834,5.9,6.1,5.7,102.6
"Custom Region","France",2020,45-49,4491352,2263420,2227932,6.6,6.8,6.4,101.6
"Custom Region","France",2020,50-54,4445286,2204083,2241203,6.6,6.6,6.5,98.3
"Custom Region","France",2020,55-59,4343289,2113736,2229553,6.4,6.4,6.4,94.8
"Custom Region","France",2020,60-64,4118547,1971828,2146719,6.1,5.9,6.2,91.9
"Custom Region","France",2020,65-69,3903382,1843717,2059665,5.8,5.5,5.9,89.5
"Custom Region","France",2020,70-74,3590194,1675654,1914540,5.3,5.0,5.5,87.5
"Custom Region","France",2020,75-79,2260466,1018630,1241836,3.3,3.1,3.6,82.0
"Custom Region","France",2020,80-84,1853166,763602,1089564,2.7,2.3,3.1,70.1
"Custom Region","France",2020,85-89,1365111,485813,879298,2.0,1.5,2.5,55.3
"Custom Region","France",2020,90-94,682616,195050,487566,1.0,0.6,1.4,40.0
"Custom Region","France",2020,95-99,204726,43053,161673,0.3,0.1,0.5,26.6
"Custom Region","France",2020,100+,24886,3784,21102,0.0,0.0,0.1,17.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,67848156,33226264,34621892,100.0,100.0,100.0,96.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,4072165,2082918,1989247,6.0,6.3,5.7,104.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,4180021,2137749,2042272,6.2,6.4,5.9,104.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,4201899,2148100,2053799,6.2,6.5,5.9,104.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,4101665,2097232,2004433,6.0,6.3,5.8,104.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,3960254,2025749,1934505,5.8,6.1,5.6,104.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,3920974,1998999,1921975,5.8,6.0,5.6,104.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,4037397,2051832,1985565,6.0,6.2,5.7,103.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,4098391,2079780,2018611,6.0,6.3,5.8,103.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,3992369,2021535,1970834,5.9,6.1,5.7,102.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,4491352,2263420,2227932,6.6,6.8,6.4,101.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,4445286,2204083,2241203,6.6,6.6,6.5,98.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,4343289,2113736,2229553,6.4,6.4,6.4,94.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,4118547,1971828,2146719,6.1,5.9,6.2,91.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,3903382,1843717,2059665,5.8,5.5,5.9,89.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,3590194,1675654,1914540,5.3,5.0,5.5,87.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,2260466,1018630,1241836,3.3,3.1,3.6,82.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,1853166,763602,1089564,2.7,2.3,3.1,70.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1365111,485813,879298,2.0,1.5,2.5,55.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,682616,195050,487566,1.0,0.6,1.4,40.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,204726,43053,161673,0.3,0.1,0.5,26.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,24886,3784,21102,0.0,0.0,0.1,17.9
