Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Germany",2020,Total,80159662,39315349,40844313,100.0,100.0,100.0,96.3
"Custom Region","Germany",2020,0-4,3460896,1776761,1684135,4.3,4.5,4.1,105.5
"Custom Region","Germany",2020,5-9,3430925,1761223,1669702,4.3,4.5,4.1,105.5
"Custom Region","Germany",2020,10-14,3436892,1764866,1672026,4.3,4.5,4.1,105.6
"Custom Region","Germany",2020,15-19,3677824,1884828,1792996,4.6,4.8,4.4,105.1
"Custom Region","Germany",2020,20-24,4189059,2127584,2061475,5.2,5.4,5.0,103.2
"Custom Region","Germany",2020,25-29,4551949,2298179,2253770,5.7,5.8,5.5,102.0
"Custom Region","Germany",2020,30-34,5103606,2577005,2526601,6.4,6.6,6.2,102.0
"Custom Region","Germany",2020,35-39,4906098,2455944,2450154,6.1,6.2,6.0,100.2
"Custom Region","Germany",2020,40-44,4701761,2350680,2351081,5.9,6.0,5.8,100.0
"Custom Region","Germany",2020,45-49,5023693,2521809,2501884,6.3,6.4,6.1,100.8
"Custom Region","Germany",2020,50-54,6636638,3349711,3286927,8.3,8.5,8.0,101.9
"Custom Region","Germany",2020,55-59,6824744,3433935,3390809,8.5,8.7,8.3,101.3
"Custom Region","Germany",2020,60-64,5789166,2863951,2925215,7.2,7.3,7.2,97.9
"Custom Region","Germany",2020,65-69,4967012,2384833,2582179,6.2,6.1,6.3,92.4
"Custom Region","Germany",2020,70-74,3911232,1839689,2071543,4.9,4.7,5.1,88.8
"Custom Region","Germany",2020,75-79,3683372,1649406,2033966,4.6,4.2,5.0,81.1
"Custom Region","Germany",2020,80-84,3241912,1356200,1885712,4.0,3.4,4.6,71.9
"Custom Region","Germany",2020,85-89,1601991,608533,993458,2.0,1.5,2.4,61.3
"Custom Region","Germany",2020,90-94,749959,246742,503217,0.9,0.6,1.2,49.0
"Custom Region","Germany",2020,95-99,234078,55986,178092,0.3,0.1,0.4,31.4
"Custom Region","Germany",2020,100+,36855,7484,29371,0.0,0.0,0.1,25.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,80159662,39315349,40844313,100.0,100.0,100.0,96.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,3460896,1776761,1684135,4.3,4.5,4.1,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,3430925,1761223,1669702,4.3,4.5,4.1,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,3436892,1764866,1672026,4.3,4.5,4.1,105.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,3677824,1884828,1792996,4.6,4.8,4.4,105.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,4189059,2127584,2061475,5.2,5.4,5.0,103.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,4551949,2298179,2253770,5.7,5.8,5.5,102.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,5103606,2577005,2526601,6.4,6.6,6.2,102.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,4906098,2455944,2450154,6.1,6.2,6.0,100.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,4701761,2350680,2351081,5.9,6.0,5.8,100.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,5023693,2521809,2501884,6.3,6.4,6.1,100.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,6636638,3349711,3286927,8.3,8.5,8.0,101.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,6824744,3433935,3390809,8.5,8.7,8.3,101.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,5789166,2863951,2925215,7.2,7.3,7.2,97.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,4967012,2384833,2582179,6.2,6.1,6.3,92.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,3911232,1839689,2071543,4.9,4.7,5.1,88.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,3683372,1649406,2033966,4.6,4.2,5.0,81.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,3241912,1356200,1885712,4.0,3.4,4.6,71.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1601991,608533,993458,2.0,1.5,2.4,61.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,749959,246742,503217,0.9,0.6,1.2,49.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,234078,55986,178092,0.3,0.1,0.4,31.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,36855,7484,29371,0.0,0.0,0.1,25.5
