Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","India",2020,Total,1326093247,688215563,637877684,100.0,100.0,100.0,107.9
"Custom Region","India",2020,0-4,116320763,61476291,54844472,8.8,8.9,8.6,112.1
"Custom Region","India",2020,5-9,116134270,61662844,54471426,8.8,9.0,8.5,113.2
"Custom Region","India",2020,10-14,116406628,61877954,54528674,8.8,9.0,8.5,113.5
"Custom Region","India",2020,15-19,116858691,62153754,54704937,8.8,9.0,8.6,113.6
"Custom Region","India",2020,20-24,115304620,61269777,54034843,8.7,8.9,8.5,113.4
"Custom Region","India",2020,25-29,109224567,57794800,51429767,8.2,8.4,8.1,112.4
"Custom Region","India",2020,30-34,102428612,53489399,48939213,7.7,7.8,7.7,109.3
"Custom Region","India",2020,35-39,96469265,49987699,46481566,7.3,7.3,7.3,107.5
"Custom Region","India",2020,40-44,89655837,46115904,43539933,6.8,6.7,6.8,105.9
"Custom Region","India",2020,45-49,82377295,41980723,40396572,6.2,6.1,6.3,103.9
"Custom Region","India",2020,50-54,70962410,35907142,35055268,5.4,5.2,5.5,102.4
"Custom Region","India",2020,55-59,58373273,29320623,29052650,4.4,4.3,4.6,100.9
"Custom Region","India",2020,60-64,46518582,23124194,23394388,3.5,3.4,3.7,98.8
"Custom Region","India",2020,65-69,35362221,17324501,18037720,2.7,2.5,2.8,96.0
"Custom Region","India",2020,70-74,25140011,12027804,13112207,1.9,1.7,2.1,91.7
"Custom Region","India",2020,75-79,16061770,7415100,8646670,1.2,1.1,1.4,85.8
"Custom Region","India",2020,80-84,8403793,3676445,4727348,0.6,0.5,0.7,77.8
"Custom Region","India",2020,85-89,3200789,1292368,1908421,0.2,0.2,0.3,67.7
"Custom Region","India",2020,90-94,778026,282732,495294,0.1,0.0,0.1,57.1
"Custom Region","India",2020,95-99,104828,33550,71278,0.0,0.0,0.0,47.1
"Custom Region","India",2020,100+,6996,1959,5037,0.0,0.0,0.0,38.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,1326093247,688215563,637877684,100.0,100.0,100.0,107.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,116320763,61476291,54844472,8.8,8.9,8.6,112.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,116134270,61662844,54471426,8.8,9.0,8.5,113.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,116406628,61877954,54528674,8.8,9.0,8.5,113.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,116858691,62153754,54704937,8.8,9.0,8.6,113.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,115304620,61269777,54034843,8.7,8.9,8.5,113.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,109224567,57794800,51429767,8.2,8.4,8.1,112.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,102428612,53489399,48939213,7.7,7.8,7.7,109.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,96469265,49987699,46481566,7.3,7.3,7.3,107.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,89655837,46115904,43539933,6.8,6.7,6.8,105.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,82377295,41980723,40396572,6.2,6.1,6.3,103.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,70962410,35907142,35055268,5.4,5.2,5.5,102.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,58373273,29320623,29052650,4.4,4.3,4.6,100.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,46518582,23124194,23394388,3.5,3.4,3.7,98.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,35362221,17324501,18037720,2.7,2.5,2.8,96.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,25140011,12027804,13112207,1.9,1.7,2.1,91.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,16061770,7415100,8646670,1.2,1.1,1.4,85.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,8403793,3676445,4727348,0.6,0.5,0.7,77.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,3200789,1292368,1908421,0.2,0.2,0.3,67.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,778026,282732,495294,0.1,0.0,0.1,57.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,104828,33550,71278,0.0,0.0,0.0,47.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,6996,1959,5037,0.0,0.0,0.0,38.9
