Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Italy",2020,Total,62402659,30068892,32333767,100.0,100.0,100.0,93.0
"Custom Region","Italy",2020,0-4,2661512,1366989,1294523,4.3,4.5,4.0,105.6
"Custom Region","Italy",2020,5-9,2796052,1432061,1363991,4.5,4.8,4.2,105.0
"Custom Region","Italy",2020,10-14,2932599,1493381,1439218,4.7,5.0,4.5,103.8
"Custom Region","Italy",2020,15-19,2957462,1490570,1466892,4.7,5.0,4.5,101.6
"Custom Region","Italy",2020,20-24,3037704,1514832,1522872,4.9,5.0,4.7,99.5
"Custom Region","Italy",2020,25-29,3315948,1638341,1677607,5.3,5.4,5.2,97.7
"Custom Region","Italy",2020,30-34,3545863,1746474,1799389,5.7,5.8,5.6,97.1
"Custom Region","Italy",2020,35-39,3946177,1941767,2004410,6.3,6.5,6.2,96.9
"Custom Region","Italy",2020,40-44,4516718,2229731,2286987,7.2,7.4,7.1,97.5
"Custom Region","Italy",2020,45-49,5106839,2527589,2579250,8.2,8.4,8.0,98.0
"Custom Region","Italy",2020,50-54,5067833,2493862,2573971,8.1,8.3,8.0,96.9
"Custom Region","Italy",2020,55-59,4740561,2316440,2424121,7.6,7.7,7.5,95.6
"Custom Region","Italy",2020,60-64,3996755,1927295,2069460,6.4,6.4,6.4,93.1
"Custom Region","Italy",2020,65-69,3495503,1655881,1839622,5.6,5.5,5.7,90.0
"Custom Region","Italy",2020,70-74,3320370,1536326,1784044,5.3,5.1,5.5,86.1
"Custom Region","Italy",2020,75-79,2534457,1118934,1415523,4.1,3.7,4.4,79.0
"Custom Region","Italy",2020,80-84,2114250,869474,1244776,3.4,2.9,3.8,69.8
"Custom Region","Italy",2020,85-89,1335855,488977,846878,2.1,1.6,2.6,57.7
"Custom Region","Italy",2020,90-94,688561,212082,476479,1.1,0.7,1.5,44.5
"Custom Region","Italy",2020,95-99,248544,60088,188456,0.4,0.2,0.6,31.9
"Custom Region","Italy",2020,100+,43096,7798,35298,0.1,0.0,0.1,22.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,62402659,30068892,32333767,100.0,100.0,100.0,93.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,2661512,1366989,1294523,4.3,4.5,4.0,105.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,2796052,1432061,1363991,4.5,4.8,4.2,105.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,2932599,1493381,1439218,4.7,5.0,4.5,103.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,2957462,1490570,1466892,4.7,5.0,4.5,101.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,3037704,1514832,1522872,4.9,5.0,4.7,99.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,3315948,1638341,1677607,5.3,5.4,5.2,97.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,3545863,1746474,1799389,5.7,5.8,5.6,97.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,3946177,1941767,2004410,6.3,6.5,6.2,96.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,4516718,2229731,2286987,7.2,7.4,7.1,97.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,5106839,2527589,2579250,8.2,8.4,8.0,98.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,5067833,2493862,2573971,8.1,8.3,8.0,96.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,4740561,2316440,2424121,7.6,7.7,7.5,95.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,3996755,1927295,2069460,6.4,6.4,6.4,93.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,3495503,1655881,1839622,5.6,5.5,5.7,90.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,3320370,1536326,1784044,5.3,5.1,5.5,86.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,2534457,1118934,1415523,4.1,3.7,4.4,79.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,2114250,869474,1244776,3.4,2.9,3.8,69.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1335855,488977,846878,2.1,1.6,2.6,57.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,688561,212082,476479,1.1,0.7,1.5,44.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,248544,60088,188456,0.4,0.2,0.6,31.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,43096,7798,35298,0.1,0.0,0.1,22.1
