Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Japan",2020,Total,125507472,60767960,64739512,100.0,100.0,100.0,93.9
"Custom Region","Japan",2020,0-4,4790505,2459861,2330644,3.8,4.0,3.6,105.5
"Custom Region","Japan",2020,5-9,5270112,2705988,2564124,4.2,4.5,4.0,105.5
"Custom Region","Japan",2020,10-14,5610333,2881334,2728999,4.5,4.7,4.2,105.6
"Custom Region","Japan",2020,15-19,5746194,2990602,2755592,4.6,4.9,4.3,108.5
"Custom Region","Japan",2020,20-24,6143535,3263750,2879785,4.9,5.4,4.4,113.3
"Custom Region","Japan",2020,25-29,6122481,3160545,2961936,4.9,5.2,4.6,106.7
"Custom Region","Japan",2020,30-34,6530651,3222943,3307708,5.2,5.3,5.1,97.4
"Custom Region","Japan",2020,35-39,7454375,3639299,3815076,5.9,6.0,5.9,95.4
"Custom Region","Japan",2020,40-44,8239595,4018287,4221308,6.6,6.6,6.5,95.2
"Custom Region","Japan",2020,45-49,9449453,4658365,4791088,7.5,7.7,7.4,97.2
"Custom Region","Japan",2020,50-54,8387970,4167946,4220024,6.7,6.9,6.5,98.8
"Custom Region","Japan",2020,55-59,7721272,3865124,3856148,6.2,6.4,6.0,100.2
"Custom Region","Japan",2020,60-64,7413527,3698943,3714584,5.9,6.1,5.7,99.6
"Custom Region","Japan",2020,65-69,8359661,4102534,4257127,6.7,6.8,6.6,96.4
"Custom Region","Japan",2020,70-74,9119993,4363774,4756219,7.3,7.2,7.3,91.7
"Custom Region","Japan",2020,75-79,7181210,3262647,3918563,5.7,5.4,6.1,83.3
"Custom Region","Japan",2020,80-84,5378653,2225157,3153496,4.3,3.7,4.9,70.6
"Custom Region","Japan",2020,85-89,3782114,1349371,2432743,3.0,2.2,3.8,55.5
"Custom Region","Japan",2020,90-94,1992075,577850,1414225,1.6,1.0,2.2,40.9
"Custom Region","Japan",2020,95-99,673178,134625,538553,0.5,0.2,0.8,25.0
"Custom Region","Japan",2020,100+,140585,19015,121570,0.1,0.0,0.2,15.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,125507472,60767960,64739512,100.0,100.0,100.0,93.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,4790505,2459861,2330644,3.8,4.0,3.6,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,5270112,2705988,2564124,4.2,4.5,4.0,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,5610333,2881334,2728999,4.5,4.7,4.2,105.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,5746194,2990602,2755592,4.6,4.9,4.3,108.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,6143535,3263750,2879785,4.9,5.4,4.4,113.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,6122481,3160545,2961936,4.9,5.2,4.6,106.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,6530651,3222943,3307708,5.2,5.3,5.1,97.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,7454375,3639299,3815076,5.9,6.0,5.9,95.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,8239595,4018287,4221308,6.6,6.6,6.5,95.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,9449453,4658365,4791088,7.5,7.7,7.4,97.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,8387970,4167946,4220024,6.7,6.9,6.5,98.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,7721272,3865124,3856148,6.2,6.4,6.0,100.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,7413527,3698943,3714584,5.9,6.1,5.7,99.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,8359661,4102534,4257127,6.7,6.8,6.6,96.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,9119993,4363774,4756219,7.3,7.2,7.3,91.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,7181210,3262647,3918563,5.7,5.4,6.1,83.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,5378653,2225157,3153496,4.3,3.7,4.9,70.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,3782114,1349371,2432743,3.0,2.2,3.8,55.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,1992075,577850,1414225,1.6,1.0,2.2,40.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,673178,134625,538553,0.5,0.2,0.8,25.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,140585,19015,121570,0.1,0.0,0.2,15.6
