Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Mexico",2020,Total,128649565,63037537,65612028,100.0,100.0,100.0,96.1
"Custom Region","Mexico",2020,0-4,11223270,5744034,5479236,8.7,9.1,8.4,104.8
"Custom Region","Mexico",2020,5-9,11170025,5716008,5454017,8.7,9.1,8.3,104.8
"Custom Region","Mexico",2020,10-14,11067671,5651157,5416514,8.6,9.0,8.3,104.3
"Custom Region","Mexico",2020,15-19,11002622,5601157,5401465,8.6,8.9,8.2,103.7
"Custom Region","Mexico",2020,20-24,10829422,5468103,5361319,8.4,8.7,8.2,102.0
"Custom Region","Mexico",2020,25-29,10483064,5238322,5244742,8.1,8.3,8.0,99.9
"Custom Region","Mexico",2020,30-34,9973157,4933248,5039909,7.8,7.8,7.7,97.9
"Custom Region","Mexico",2020,35-39,9042984,4380891,4662093,7.0,6.9,7.1,94.0
"Custom Region","Mexico",2020,40-44,8435123,4009724,4425399,6.6,6.4,6.7,90.6
"Custom Region","Mexico",2020,45-49,7996495,3816036,4180459,6.2,6.1,6.4,91.3
"Custom Region","Mexico",2020,50-54,6897120,3226002,3671118,5.4,5.1,5.6,87.9
"Custom Region","Mexico",2020,55-59,5885425,2703652,3181773,4.6,4.3,4.8,85.0
"Custom Region","Mexico",2020,60-64,4777799,2175396,2602403,3.7,3.5,4.0,83.6
"Custom Region","Mexico",2020,65-69,3426865,1547062,1879803,2.7,2.5,2.9,82.3
"Custom Region","Mexico",2020,70-74,2546376,1147644,1398732,2.0,1.8,2.1,82.0
"Custom Region","Mexico",2020,75-79,1850617,824477,1026140,1.4,1.3,1.6,80.3
"Custom Region","Mexico",2020,80-84,1188488,511460,677028,0.9,0.8,1.0,75.5
"Custom Region","Mexico",2020,85-89,598357,246626,351731,0.5,0.4,0.5,70.1
"Custom Region","Mexico",2020,90-94,209211,80186,129025,0.2,0.1,0.2,62.1
"Custom Region","Mexico",2020,95-99,40960,14697,26263,0.0,0.0,0.0,56.0
"Custom Region","Mexico",2020,100+,4514,1655,2859,0.0,0.0,0.0,57.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,128649565,63037537,65612028,100.0,100.0,100.0,96.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,11223270,5744034,5479236,8.7,9.1,8.4,104.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,11170025,5716008,5454017,8.7,9.1,8.3,104.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,11067671,5651157,5416514,8.6,9.0,8.3,104.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,11002622,5601157,5401465,8.6,8.9,8.2,103.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,10829422,5468103,5361319,8.4,8.7,8.2,102.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,10483064,5238322,5244742,8.1,8.3,8.0,99.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,9973157,4933248,5039909,7.8,7.8,7.7,97.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,9042984,4380891,4662093,7.0,6.9,7.1,94.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,8435123,4009724,4425399,6.6,6.4,6.7,90.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,7996495,3816036,4180459,6.2,6.1,6.4,91.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,6897120,3226002,3671118,5.4,5.1,5.6,87.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,5885425,2703652,3181773,4.6,4.3,4.8,85.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,4777799,2175396,2602403,3.7,3.5,4.0,83.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,3426865,1547062,1879803,2.7,2.5,2.9,82.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,2546376,1147644,1398732,2.0,1.8,2.1,82.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,1850617,824477,1026140,1.4,1.3,1.6,80.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,1188488,511460,677028,0.9,0.8,1.0,75.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,598357,246626,351731,0.5,0.4,0.5,70.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,209211,80186,129025,0.2,0.1,0.2,62.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,40960,14697,26263,0.0,0.0,0.0,56.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,4514,1655,2859,0.0,0.0,0.0,57.9
