Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Russia",2020,Total,141722205,65553652,76168553,100.0,100.0,100.0,86.1
"Custom Region","Russia",2020,0-4,7637530,3925756,3711774,5.4,6.0,4.9,105.8
"Custom Region","Russia",2020,5-9,8627222,4432262,4194960,6.1,6.8,5.5,105.7
"Custom Region","Russia",2020,10-14,8168156,4193593,3974563,5.8,6.4,5.2,105.5
"Custom Region","Russia",2020,15-19,7046736,3611410,3435326,5.0,5.5,4.5,105.1
"Custom Region","Russia",2020,20-24,6476110,3308660,3167450,4.6,5.0,4.2,104.5
"Custom Region","Russia",2020,25-29,8168157,4155776,4012381,5.8,6.3,5.3,103.6
"Custom Region","Russia",2020,30-34,12097170,6072872,6024298,8.5,9.3,7.9,100.8
"Custom Region","Russia",2020,35-39,11878173,5872041,6006132,8.4,9.0,7.9,97.8
"Custom Region","Russia",2020,40-44,10695407,5205567,5489840,7.5,7.9,7.2,94.8
"Custom Region","Russia",2020,45-49,9822977,4756100,5066877,6.9,7.3,6.7,93.9
"Custom Region","Russia",2020,50-54,8823480,4177904,4645576,6.2,6.4,6.1,89.9
"Custom Region","Russia",2020,55-59,10294200,4625821,5668379,7.3,7.1,7.4,81.6
"Custom Region","Russia",2020,60-64,9981827,4182509,5799318,7.0,6.4,7.6,72.1
"Custom Region","Russia",2020,65-69,8106547,3104669,5001878,5.7,4.7,6.6,62.1
"Custom Region","Russia",2020,70-74,5322828,1836033,3486795,3.8,2.8,4.6,52.7
"Custom Region","Russia",2020,75-79,2980521,878711,2101810,2.1,1.3,2.8,41.8
"Custom Region","Russia",2020,80-84,3294269,812458,2481811,2.3,1.2,3.3,32.7
"Custom Region","Russia",2020,85-89,1422930,279680,1143250,1.0,0.4,1.5,24.5
"Custom Region","Russia",2020,90-94,720831,106584,614247,0.5,0.2,0.8,17.4
"Custom Region","Russia",2020,95-99,138949,13508,125441,0.1,0.0,0.2,10.8
"Custom Region","Russia",2020,100+,18185,1738,16447,0.0,0.0,0.0,10.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,141722205,65553652,76168553,100.0,100.0,100.0,86.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,7637530,3925756,3711774,5.4,6.0,4.9,105.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,8627222,4432262,4194960,6.1,6.8,5.5,105.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,8168156,4193593,3974563,5.8,6.4,5.2,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,7046736,3611410,3435326,5.0,5.5,4.5,105.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,6476110,3308660,3167450,4.6,5.0,4.2,104.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,8168157,4155776,4012381,5.8,6.3,5.3,103.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,12097170,6072872,6024298,8.5,9.3,7.9,100.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,11878173,5872041,6006132,8.4,9.0,7.9,97.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,10695407,5205567,5489840,7.5,7.9,7.2,94.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,9822977,4756100,5066877,6.9,7.3,6.7,93.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,8823480,4177904,4645576,6.2,6.4,6.1,89.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,10294200,4625821,5668379,7.3,7.1,7.4,81.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,9981827,4182509,5799318,7.0,6.4,7.6,72.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,8106547,3104669,5001878,5.7,4.7,6.6,62.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,5322828,1836033,3486795,3.8,2.8,4.6,52.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,2980521,878711,2101810,2.1,1.3,2.8,41.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,3294269,812458,2481811,2.3,1.2,3.3,32.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1422930,279680,1143250,1.0,0.4,1.5,24.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,720831,106584,614247,0.5,0.2,0.8,17.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,138949,13508,125441,0.1,0.0,0.2,10.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,18185,1738,16447,0.0,0.0,0.0,10.6
