Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","South Africa",2020,Total,56463617,27901628,28561989,100.0,100.0,100.0,97.7
"Custom Region","South Africa",2020,0-4,5336576,2682095,2654481,9.5,9.6,9.3,101.0
"Custom Region","South Africa",2020,5-9,5315208,2658684,2656524,9.4,9.5,9.3,100.1
"Custom Region","South Africa",2020,10-14,5126224,2553963,2572261,9.1,9.2,9.0,99.3
"Custom Region","South Africa",2020,15-19,4742237,2358442,2383795,8.4,8.5,8.3,98.9
"Custom Region","South Africa",2020,20-24,4742687,2322145,2420542,8.4,8.3,8.5,95.9
"Custom Region","South Africa",2020,25-29,5101818,2508183,2593635,9.0,9.0,9.1,96.7
"Custom Region","South Africa",2020,30-34,5451676,2768384,2683292,9.7,9.9,9.4,103.2
"Custom Region","South Africa",2020,35-39,4592001,2379280,2212721,8.1,8.5,7.7,107.5
"Custom Region","South Africa",2020,40-44,3542289,1840206,1702083,6.3,6.6,6.0,108.1
"Custom Region","South Africa",2020,45-49,2852710,1450151,1402559,5.1,5.2,4.9,103.4
"Custom Region","South Africa",2020,50-54,2384140,1153237,1230903,4.2,4.1,4.3,93.7
"Custom Region","South Africa",2020,55-59,2069529,973232,1096297,3.7,3.5,3.8,88.8
"Custom Region","South Africa",2020,60-64,1770361,809670,960691,3.1,2.9,3.4,84.3
"Custom Region","South Africa",2020,65-69,1371036,605284,765752,2.4,2.2,2.7,79.0
"Custom Region","South Africa",2020,70-74,966366,408067,558299,1.7,1.5,2.0,73.1
"Custom Region","South Africa",2020,75-79,612496,251040,361456,1.1,0.9,1.3,69.5
"Custom Region","South Africa",2020,80-84,332800,126971,205829,0.6,0.5,0.7,61.7
"Custom Region","South Africa",2020,85-89,120868,42627,78241,0.2,0.2,0.3,54.5
"Custom Region","South Africa",2020,90-94,28798,8922,19876,0.1,0.0,0.1,44.9
"Custom Region","South Africa",2020,95-99,3566,990,2576,0.0,0.0,0.0,38.4
"Custom Region","South Africa",2020,100+,231,55,176,0.0,0.0,0.0,31.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,56463617,27901628,28561989,100.0,100.0,100.0,97.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,5336576,2682095,2654481,9.5,9.6,9.3,101.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,5315208,2658684,2656524,9.4,9.5,9.3,100.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,5126224,2553963,2572261,9.1,9.2,9.0,99.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,4742237,2358442,2383795,8.4,8.5,8.3,98.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,4742687,2322145,2420542,8.4,8.3,8.5,95.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,5101818,2508183,2593635,9.0,9.0,9.1,96.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,5451676,2768384,2683292,9.7,9.9,9.4,103.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,4592001,2379280,2212721,8.1,8.5,7.7,107.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,3542289,1840206,1702083,6.3,6.6,6.0,108.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,2852710,1450151,1402559,5.1,5.2,4.9,103.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,2384140,1153237,1230903,4.2,4.1,4.3,93.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,2069529,973232,1096297,3.7,3.5,3.8,88.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,1770361,809670,960691,3.1,2.9,3.4,84.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,1371036,605284,765752,2.4,2.2,2.7,79.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,966366,408067,558299,1.7,1.5,2.0,73.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,612496,251040,361456,1.1,0.9,1.3,69.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,332800,126971,205829,0.6,0.5,0.7,61.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,120868,42627,78241,0.2,0.2,0.3,54.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,28798,8922,19876,0.1,0.0,0.1,44.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,3566,990,2576,0.0,0.0,0.0,38.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,231,55,176,0.0,0.0,0.0,31.3
