Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Korea, South",2020,Total,51835110,25975819,25859291,100.0,100.0,100.0,100.5
"Custom Region","Korea, South",2020,0-4,2118262,1086209,1032053,4.1,4.2,4.0,105.2
"Custom Region","Korea, South",2020,5-9,2246735,1152700,1094035,4.3,4.4,4.2,105.4
"Custom Region","Korea, South",2020,10-14,2256407,1162906,1093501,4.4,4.5,4.2,106.3
"Custom Region","Korea, South",2020,15-19,2497773,1300268,1197505,4.8,5.0,4.6,108.6
"Custom Region","Korea, South",2020,20-24,3297114,1729759,1567355,6.4,6.7,6.1,110.4
"Custom Region","Korea, South",2020,25-29,3648408,1961704,1686704,7.0,7.6,6.5,116.3
"Custom Region","Korea, South",2020,30-34,3316667,1774022,1542645,6.4,6.8,6.0,115.0
"Custom Region","Korea, South",2020,35-39,3939603,2083145,1856458,7.6,8.0,7.2,112.2
"Custom Region","Korea, South",2020,40-44,3919414,2065610,1853804,7.6,8.0,7.2,111.4
"Custom Region","Korea, South",2020,45-49,4191968,2091535,2100433,8.1,8.1,8.1,99.6
"Custom Region","Korea, South",2020,50-54,4134493,2067610,2066883,8.0,8.0,8.0,100.0
"Custom Region","Korea, South",2020,55-59,4176836,2042486,2134350,8.1,7.9,8.3,95.7
"Custom Region","Korea, South",2020,60-64,3839693,1885010,1954683,7.4,7.3,7.6,96.4
"Custom Region","Korea, South",2020,65-69,2709446,1303443,1406003,5.2,5.0,5.4,92.7
"Custom Region","Korea, South",2020,70-74,2004455,932166,1072289,3.9,3.6,4.1,86.9
"Custom Region","Korea, South",2020,75-79,1502437,636375,866062,2.9,2.4,3.3,73.5
"Custom Region","Korea, South",2020,80-84,1108107,423730,684377,2.1,1.6,2.6,61.9
"Custom Region","Korea, South",2020,85-89,611570,202871,408699,1.2,0.8,1.6,49.6
"Custom Region","Korea, South",2020,90-94,234789,59224,175565,0.5,0.2,0.7,33.7
"Custom Region","Korea, South",2020,95-99,68608,13439,55169,0.1,0.1,0.2,24.4
"Custom Region","Korea, South",2020,100+,12325,1607,10718,0.0,0.0,0.0,15.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,51835110,25975819,25859291,100.0,100.0,100.0,100.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,2118262,1086209,1032053,4.1,4.2,4.0,105.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,2246735,1152700,1094035,4.3,4.4,4.2,105.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,2256407,1162906,1093501,4.4,4.5,4.2,106.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,2497773,1300268,1197505,4.8,5.0,4.6,108.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,3297114,1729759,1567355,6.4,6.7,6.1,110.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,3648408,1961704,1686704,7.0,7.6,6.5,116.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,3316667,1774022,1542645,6.4,6.8,6.0,115.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,3939603,2083145,1856458,7.6,8.0,7.2,112.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,3919414,2065610,1853804,7.6,8.0,7.2,111.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,4191968,2091535,2100433,8.1,8.1,8.1,99.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,4134493,2067610,2066883,8.0,8.0,8.0,100.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,4176836,2042486,2134350,8.1,7.9,8.3,95.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,3839693,1885010,1954683,7.4,7.3,7.6,96.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,2709446,1303443,1406003,5.2,5.0,5.4,92.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,2004455,932166,1072289,3.9,3.6,4.1,86.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,1502437,636375,866062,2.9,2.4,3.3,73.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,1108107,423730,684377,2.1,1.6,2.6,61.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,611570,202871,408699,1.2,0.8,1.6,49.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,234789,59224,175565,0.5,0.2,0.7,33.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,68608,13439,55169,0.1,0.1,0.2,24.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,12325,1607,10718,0.0,0.0,0.0,15.0
