Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","Spain",2020,Total,50015792,24700529,25315263,100.0,100.0,100.0,97.6
"Custom Region","Spain",2020,0-4,2282517,1175405,1107112,4.6,4.8,4.4,106.2
"Custom Region","Spain",2020,5-9,2546567,1308750,1237817,5.1,5.3,4.9,105.7
"Custom Region","Spain",2020,10-14,2682523,1377367,1305156,5.4,5.6,5.2,105.5
"Custom Region","Spain",2020,15-19,2532968,1304506,1228462,5.1,5.3,4.9,106.2
"Custom Region","Spain",2020,20-24,2417034,1252998,1164036,4.8,5.1,4.6,107.6
"Custom Region","Spain",2020,25-29,2634015,1362947,1271068,5.3,5.5,5.0,107.2
"Custom Region","Spain",2020,30-34,3037298,1571879,1465419,6.1,6.4,5.8,107.3
"Custom Region","Spain",2020,35-39,3595090,1857241,1737849,7.2,7.5,6.9,106.9
"Custom Region","Spain",2020,40-44,4304196,2196673,2107523,8.6,8.9,8.3,104.2
"Custom Region","Spain",2020,45-49,4320421,2183689,2136732,8.6,8.8,8.4,102.2
"Custom Region","Spain",2020,50-54,3918859,1961577,1957282,7.8,7.9,7.7,100.2
"Custom Region","Spain",2020,55-59,3489159,1720138,1769021,7.0,7.0,7.0,97.2
"Custom Region","Spain",2020,60-64,3007744,1456942,1550802,6.0,5.9,6.1,93.9
"Custom Region","Spain",2020,65-69,2503177,1187899,1315278,5.0,4.8,5.2,90.3
"Custom Region","Spain",2020,70-74,2230549,1022073,1208476,4.5,4.1,4.8,84.6
"Custom Region","Spain",2020,75-79,1746958,763130,983828,3.5,3.1,3.9,77.6
"Custom Region","Spain",2020,80-84,1265963,501393,764570,2.5,2.0,3.0,65.6
"Custom Region","Spain",2020,85-89,945855,332898,612957,1.9,1.3,2.4,54.3
"Custom Region","Spain",2020,90-94,422256,128353,293903,0.8,0.5,1.2,43.7
"Custom Region","Spain",2020,95-99,115561,30647,84914,0.2,0.1,0.3,36.1
"Custom Region","Spain",2020,100+,17082,4024,13058,0.0,0.0,0.1,30.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,50015792,24700529,25315263,100.0,100.0,100.0,97.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,2282517,1175405,1107112,4.6,4.8,4.4,106.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,2546567,1308750,1237817,5.1,5.3,4.9,105.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,2682523,1377367,1305156,5.4,5.6,5.2,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,2532968,1304506,1228462,5.1,5.3,4.9,106.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,2417034,1252998,1164036,4.8,5.1,4.6,107.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,2634015,1362947,1271068,5.3,5.5,5.0,107.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,3037298,1571879,1465419,6.1,6.4,5.8,107.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,3595090,1857241,1737849,7.2,7.5,6.9,106.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,4304196,2196673,2107523,8.6,8.9,8.3,104.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,4320421,2183689,2136732,8.6,8.8,8.4,102.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,3918859,1961577,1957282,7.8,7.9,7.7,100.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,3489159,1720138,1769021,7.0,7.0,7.0,97.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,3007744,1456942,1550802,6.0,5.9,6.1,93.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,2503177,1187899,1315278,5.0,4.8,5.2,90.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,2230549,1022073,1208476,4.5,4.1,4.8,84.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,1746958,763130,983828,3.5,3.1,3.9,77.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,1265963,501393,764570,2.5,2.0,3.0,65.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,945855,332898,612957,1.9,1.3,2.4,54.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,422256,128353,293903,0.8,0.5,1.2,43.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,115561,30647,84914,0.2,0.1,0.3,36.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,17082,4024,13058,0.0,0.0,0.1,30.8
