Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","United Kingdom",2020,Total,65761117,32753329,33007788,100.0,100.0,100.0,99.2
"Custom Region","United Kingdom",2020,0-4,3899509,1998574,1900935,5.9,6.1,5.8,105.1
"Custom Region","United Kingdom",2020,5-9,3876406,1987153,1889253,5.9,6.1,5.7,105.2
"Custom Region","United Kingdom",2020,10-14,3819300,1957708,1861592,5.8,6.0,5.6,105.2
"Custom Region","United Kingdom",2020,15-19,3589804,1839299,1750505,5.5,5.6,5.3,105.1
"Custom Region","United Kingdom",2020,20-24,3963029,2021136,1941893,6.0,6.2,5.9,104.1
"Custom Region","United Kingdom",2020,25-29,4381974,2232039,2149935,6.7,6.8,6.5,103.8
"Custom Region","United Kingdom",2020,30-34,4549283,2323588,2225695,6.9,7.1,6.7,104.4
"Custom Region","United Kingdom",2020,35-39,4314100,2215547,2098553,6.6,6.8,6.4,105.6
"Custom Region","United Kingdom",2020,40-44,3956552,2036763,1919789,6.0,6.2,5.8,106.1
"Custom Region","United Kingdom",2020,45-49,4233279,2173703,2059576,6.4,6.6,6.2,105.5
"Custom Region","United Kingdom",2020,50-54,4652375,2358325,2294050,7.1,7.2,7.0,102.8
"Custom Region","United Kingdom",2020,55-59,4533951,2237802,2296149,6.9,6.8,7.0,97.5
"Custom Region","United Kingdom",2020,60-64,3840128,1901576,1938552,5.8,5.8,5.9,98.1
"Custom Region","United Kingdom",2020,65-69,3257115,1574417,1682698,5.0,4.8,5.1,93.6
"Custom Region","United Kingdom",2020,70-74,3256572,1538820,1717752,5.0,4.7,5.2,89.6
"Custom Region","United Kingdom",2020,75-79,2288775,1042431,1246344,3.5,3.2,3.8,83.6
"Custom Region","United Kingdom",2020,80-84,1619695,695556,924139,2.5,2.1,2.8,75.3
"Custom Region","United Kingdom",2020,85-89,1001066,389474,611592,1.5,1.2,1.9,63.7
"Custom Region","United Kingdom",2020,90-94,508625,170525,338100,0.8,0.5,1.0,50.4
"Custom Region","United Kingdom",2020,95-99,181319,50429,130890,0.3,0.2,0.4,38.5
"Custom Region","United Kingdom",2020,100+,38260,8464,29796,0.1,0.0,0.1,28.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,65761117,32753329,33007788,100.0,100.0,100.0,99.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,3899509,1998574,1900935,5.9,6.1,5.8,105.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,3876406,1987153,1889253,5.9,6.1,5.7,105.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,3819300,1957708,1861592,5.8,6.0,5.6,105.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,3589804,1839299,1750505,5.5,5.6,5.3,105.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,3963029,2021136,1941893,6.0,6.2,5.9,104.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,4381974,2232039,2149935,6.7,6.8,6.5,103.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,4549283,2323588,2225695,6.9,7.1,6.7,104.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,4314100,2215547,2098553,6.6,6.8,6.4,105.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,3956552,2036763,1919789,6.0,6.2,5.8,106.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,4233279,2173703,2059576,6.4,6.6,6.2,105.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,4652375,2358325,2294050,7.1,7.2,7.0,102.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,4533951,2237802,2296149,6.9,6.8,7.0,97.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,3840128,1901576,1938552,5.8,5.8,5.9,98.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,3257115,1574417,1682698,5.0,4.8,5.1,93.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,3256572,1538820,1717752,5.0,4.7,5.2,89.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,2288775,1042431,1246344,3.5,3.2,3.8,83.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,1619695,695556,924139,2.5,2.1,2.8,75.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,1001066,389474,611592,1.5,1.2,1.9,63.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,508625,170525,338100,0.8,0.5,1.0,50.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,181319,50429,130890,0.3,0.2,0.4,38.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,38260,8464,29796,0.1,0.0,0.1,28.4
