Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"Custom Region","United States",2020,Total,332639102,163904476,168734626,100.0,100.0,100.0,97.1
"Custom Region","United States",2020,0-4,20438539,10445659,9992880,6.1,6.4,5.9,104.5
"Custom Region","United States",2020,5-9,20200409,10325131,9875278,6.1,6.3,5.9,104.6
"Custom Region","United States",2020,10-14,20769978,10603765,10166213,6.2,6.5,6.0,104.3
"Custom Region","United States",2020,15-19,21038355,10732423,10305932,6.3,6.5,6.1,104.1
"Custom Region","United States",2020,20-24,21899476,11198945,10700531,6.6,6.8,6.3,104.7
"Custom Region","United States",2020,25-29,23511987,12029149,11482838,7.1,7.3,6.8,104.8
"Custom Region","United States",2020,30-34,22979416,11649087,11330329,6.9,7.1,6.7,102.8
"Custom Region","United States",2020,35-39,21922009,10990413,10931596,6.6,6.7,6.5,100.5
"Custom Region","United States",2020,40-44,20429786,10168231,10261555,6.1,6.2,6.1,99.1
"Custom Region","United States",2020,45-49,20104631,9947289,10157342,6.0,6.1,6.0,97.9
"Custom Region","United States",2020,50-54,20510406,10109501,10400905,6.2,6.2,6.2,97.2
"Custom Region","United States",2020,55-59,21771752,10598811,11172941,6.5,6.5,6.6,94.9
"Custom Region","United States",2020,60-64,21010792,10091925,10918867,6.3,6.2,6.5,92.4
"Custom Region","United States",2020,65-69,18030171,8491889,9538282,5.4,5.2,5.7,89.0
"Custom Region","United States",2020,70-74,14759266,6836985,7922281,4.4,4.2,4.7,86.3
"Custom Region","United States",2020,75-79,10053038,4502437,5550601,3.0,2.7,3.3,81.1
"Custom Region","United States",2020,80-84,6508211,2764750,3743461,2.0,1.7,2.2,73.9
"Custom Region","United States",2020,85-89,3943281,1528872,2414409,1.2,0.9,1.4,63.3
"Custom Region","United States",2020,90-94,2016964,684284,1332680,0.6,0.4,0.8,51.3
"Custom Region","United States",2020,95-99,648571,183775,464796,0.2,0.1,0.3,39.5
"Custom Region","United States",2020,100+,92064,21155,70909,0.0,0.0,0.0,29.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,Total,332639102,163904476,168734626,100.0,100.0,100.0,97.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,0-4,20438539,10445659,9992880,6.1,6.4,5.9,104.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,5-9,20200409,10325131,9875278,6.1,6.3,5.9,104.6
"Custom Region","TOTAL FOR SELECTED REGION",2020,10-14,20769978,10603765,10166213,6.2,6.5,6.0,104.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,15-19,21038355,10732423,10305932,6.3,6.5,6.1,104.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,20-24,21899476,11198945,10700531,6.6,6.8,6.3,104.7
"Custom Region","TOTAL FOR SELECTED REGION",2020,25-29,23511987,12029149,11482838,7.1,7.3,6.8,104.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,30-34,22979416,11649087,11330329,6.9,7.1,6.7,102.8
"Custom Region","TOTAL FOR SELECTED REGION",2020,35-39,21922009,10990413,10931596,6.6,6.7,6.5,100.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,40-44,20429786,10168231,10261555,6.1,6.2,6.1,99.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,45-49,20104631,9947289,10157342,6.0,6.1,6.0,97.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,50-54,20510406,10109501,10400905,6.2,6.2,6.2,97.2
"Custom Region","TOTAL FOR SELECTED REGION",2020,55-59,21771752,10598811,11172941,6.5,6.5,6.6,94.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,60-64,21010792,10091925,10918867,6.3,6.2,6.5,92.4
"Custom Region","TOTAL FOR SELECTED REGION",2020,65-69,18030171,8491889,9538282,5.4,5.2,5.7,89.0
"Custom Region","TOTAL FOR SELECTED REGION",2020,70-74,14759266,6836985,7922281,4.4,4.2,4.7,86.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,75-79,10053038,4502437,5550601,3.0,2.7,3.3,81.1
"Custom Region","TOTAL FOR SELECTED REGION",2020,80-84,6508211,2764750,3743461,2.0,1.7,2.2,73.9
"Custom Region","TOTAL FOR SELECTED REGION",2020,85-89,3943281,1528872,2414409,1.2,0.9,1.4,63.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,90-94,2016964,684284,1332680,0.6,0.4,0.8,51.3
"Custom Region","TOTAL FOR SELECTED REGION",2020,95-99,648571,183775,464796,0.2,0.1,0.3,39.5
"Custom Region","TOTAL FOR SELECTED REGION",2020,100+,92064,21155,70909,0.0,0.0,0.0,29.8
