Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2009,Total,306771529,150807454,155964075,100.0,100.0,100.0,96.7
2009,0-4,20244518,10342089,9902429,6.6,6.9,6.3,104.4
2009,5-9,20182499,10307755,9874744,6.6,6.8,6.3,104.4
2009,10-14,20660564,10571832,10088732,6.7,7.0,6.5,104.8
2009,15-19,22192810,11388239,10804571,7.2,7.6,6.9,105.4
2009,20-24,21384122,10924709,10459413,7.0,7.2,6.7,104.4
2009,25-29,21078228,10611357,10466871,6.9,7.0,6.7,101.4
2009,30-34,19645114,9844555,9800559,6.4,6.5,6.3,100.4
2009,35-39,20507796,10215627,10292169,6.7,6.8,6.6,99.3
2009,40-44,20980015,10430574,10549441,6.8,6.9,6.8,98.9
2009,45-49,22862245,11285671,11576574,7.5,7.5,7.4,97.5
2009,50-54,22004843,10783563,11221280,7.2,7.2,7.2,96.1
2009,55-59,19280603,9334386,9946217,6.3,6.2,6.4,93.8
2009,60-64,16124997,7741673,8383324,5.3,5.1,5.4,92.3
2009,65-69,12092377,5684499,6407878,3.9,3.8,4.1,88.7
2009,70-74,9140722,4173443,4967279,3.0,2.8,3.2,84.0
2009,75-79,7295064,3159284,4135780,2.4,2.1,2.7,76.4
2009,80-84,5727711,2272851,3454860,1.9,1.5,2.2,65.8
2009,85-89,3561170,1244381,2316789,1.2,0.8,1.5,53.7
2009,90-94,1397519,404624,992895,0.5,0.3,0.6,40.8
2009,95-99,357910,78004,279906,0.1,0.1,0.2,27.9
2009,100+,50702,8338,42364,0.0,0.0,0.0,19.7
2010,Total,309326085,152077018,157249067,100.0,100.0,100.0,96.7
2010,0-4,20188815,10312617,9876198,6.5,6.8,6.3,104.4
2010,5-9,20331229,10380298,9950931,6.6,6.8,6.3,104.3
2010,10-14,20680642,10578228,10102414,6.7,7.0,6.4,104.7
2010,15-19,21981217,11277958,10703259,7.1,7.4,6.8,105.4
2010,20-24,21701481,11072183,10629298,7.0,7.3,6.8,104.2
2010,25-29,21143162,10660907,10482255,6.8,7.0,6.7,101.7
2010,30-34,20068468,10051472,10016996,6.5,6.6,6.4,100.3
2010,35-39,20077880,9992147,10085733,6.5,6.6,6.4,99.1
2010,40-44,20903792,10399615,10504177,6.8,6.8,6.7,99.0
2010,45-49,22635453,11175305,11460148,7.3,7.3,7.3,97.5
2010,50-54,22351881,10959496,11392385,7.2,7.2,7.2,96.2
2010,55-59,19793973,9587148,10206825,6.4,6.3,6.5,93.9
2010,60-64,16989310,8158043,8831267,5.5,5.4,5.6,92.4
2010,65-69,12520772,5894895,6625877,4.0,3.9,4.2,89.0
